Year,Anomaly
1954-03,-0.14
1954-04,-0.08
1954-05,-0.11
1954-06,-0.06
1954-07,-0.09
1954-08,-0.05
1954-09,-0.01
1954-10,-0.01
1954-11,0.09
1954-12,-0.12
1955-01,0.13
1955-02,-0.17
1955-03,-0.29
1955-04,-0.2
1955-05,-0.15
1955-06,-0.08
1955-07,-0.11
1955-08,-0.02
1955-09,-0.04
1955-10,-0.09
1955-11,-0.26
1955-12,-0.27
1956-01,-0.11
1956-02,-0.17
1956-03,-0.16
1956-04,-0.25
1956-05,-0.26
1956-06,-0.16
1956-07,-0.12
1956-08,-0.19
1956-09,-0.23
1956-10,-0.22
1956-11,-0.15
1956-12,-0.02
1957-01,-0.06
1957-02,-0.09
1957-03,-0.09
1957-04,-0.05
1957-05,0.06
1957-06,0.15
1957-07,0.01
1957-08,0.26
1957-09,0.17
1957-10,0.09
1957-11,0.08
1957-12,0.18
1958-01,0.35
1958-02,0.26
1958-03,0.12
1958-04,0.06
1958-05,0.1
1958-06,-0.03
1958-07,0.02
1958-08,0.01
1958-09,-0.03
1958-10,0.04
1958-11,0.03
1958-12,0.08
1959-01,0.07
1959-02,0.1
1959-03,0.19
1959-04,0.17
1959-05,0.04
1959-06,0.11
1959-07,0.08
1959-08,0.04
1959-09,0.1
1959-10,-0.06
1959-11,-0.03
1959-12,0.02
1960-01,0.05
1960-02,0.11
1960-03,-0.25
1960-04,-0.09
1960-05,-0.04
1960-06,0.08
1960-07,0.08
1960-08,0.01
1960-09,0.13
1960-10,0.08
1960-11,-0.11
1960-12,0.26
1961-01,0.14
1961-02,0.17
1961-03,0.1
1961-04,0.21
1961-05,0.04
1961-06,0.1
1961-07,0.05
1961-08,0.05
1961-09,0.08
1961-10,-0.12
1961-11,0.04
1961-12,-0.09
1962-01,0.08
1962-02,0.11
1962-03,0.16
1962-04,-0.01
1962-05,0.02
1962-06,-0.06
1962-07,0.1
1962-08,0.07
1962-09,-0.04
1962-10,0.03
1962-11,0.11
1962-12,0.06
1963-01,0.02
1963-02,0.21
1963-03,-0.13
1963-04,0.01
1963-05,-0.02
1963-06,0.09
1963-07,0.04
1963-08,0.18
1963-09,0.13
1963-10,0.21
1963-11,0.19
1963-12,0.05
1964-01,-0.08
1964-02,-0.11
1964-03,-0.15
1964-04,-0.24
1964-05,-0.15
1964-06,-0.04
1964-07,-0.01
1964-08,-0.19
1964-09,-0.15
1964-10,-0.27
1964-11,-0.2
1964-12,-0.24
1965-01,-0.08
1965-02,-0.15
1965-03,-0.11
1965-04,-0.11
1965-05,-0.19
1965-06,-0.07
1965-07,0
1965-08,0.01
1965-09,-0.07
1965-10,0.01
1965-11,0.03
1965-12,-0.02
1966-01,-0.14
1966-02,-0.05
1966-03,-0.03
1966-04,-0.07
1966-05,-0.1
1966-06,0.11
1966-07,0.09
1966-08,-0.02
1966-09,0.06
1966-10,-0.14
